TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
391176.0,-0.05888,0.03954,1.01051
391740.0,-0.05898,0.0396,1.01037
392304.0,-0.05907,0.03957,1.01054
392868.0,-0.05886,0.03945,1.01056
393432.0,-0.05894,0.03946,1.01049
393996.0,-0.05895,0.03943,1.01042
394560.0,-0.0591,0.03966,1.01016
395124.0,-0.05904,0.03962,1.0101
395688.0,-0.05897,0.03955,1.01009
396252.0,-0.05899,0.03958,1.0101
396816.0,-0.05907,0.03958,1.01001
397380.0,-0.05897,0.03948,1.01009
397944.0,-0.05903,0.03954,1.01008
398508.0,-0.05913,0.03971,1.01001
399072.0,-0.05895,0.03959,1.01018
399636.0,-0.05908,0.03969,1.01012
400200.0,-0.05893,0.03959,1.0101
400764.0,-0.05897,0.03948,1.01019
401328.0,-0.05884,0.0395,1.0104
401892.0,-0.05896,0.03942,1.01031
402456.0,-0.05913,0.03974,1.01009
403020.0,-0.059,0.03949,1.01017
403584.0,-0.05907,0.03969,1.01019
404148.0,-0.05911,0.03963,1.01017
404712.0,-0.05909,0.03971,1.01017
405276.0,-0.05913,0.03976,1.01006
405840.0,-0.0591,0.03973,1.01017
406404.0,-0.05896,0.03959,1.01024
406968.0,-0.05911,0.03964,1.01031
407532.0,-0.05898,0.03952,1.0104
408096.0,-0.05897,0.03943,1.01038
408660.0,-0.05907,0.03963,1.01031
409224.0,-0.05905,0.03977,1.01018
409788.0,-0.05893,0.03956,1.01042
410352.0,-0.05878,0.03954,1.01027
410916.0,-0.05912,0.03972,1.01025
411480.0,-0.05905,0.03976,1.0103
412044.0,-0.05895,0.03958,1.01033
412608.0,-0.05908,0.0397,1.01031
413172.0,-0.0591,0.03956,1.01037
413736.0,-0.05898,0.03955,1.01028
414300.0,-0.05906,0.0397,1.01021
414864.0,-0.05908,0.03948,1.01033
415428.0,-0.05918,0.03977,1.01039
415992.0,-0.05912,0.03969,1.01023
416556.0,-0.05909,0.03977,1.01022
417120.0,-0.05914,0.03976,1.01016
417684.0,-0.05924,0.03972,1.01022
418248.0,-0.05925,0.03984,1.01012
418812.0,-0.05909,0.03975,1.01037
419376.0,-0.05884,0.03948,1.01051
419940.0,-0.05887,0.03946,1.01057
420504.0,-0.05906,0.03968,1.01044
421068.0,-0.05891,0.03954,1.01029
421632.0,-0.059,0.03947,1.01045
422200.0,-0.05889,0.0395,1.01043
422764.0,-0.05912,0.03959,1.01008
423328.0,-0.05901,0.03965,1.01016
423892.0,-0.05882,0.03952,1.01034
424456.0,-0.05891,0.03956,1.0104
425020.0,-0.05904,0.03971,1.01031
425584.0,-0.05886,0.03964,1.0104
426148.0,-0.05896,0.03973,1.01053
426712.0,-0.05892,0.03969,1.01036
427276.0,-0.05912,0.03977,1.01036
427840.0,-0.0591,0.03984,1.01025
428404.0,-0.05896,0.03963,1.01039
428968.0,-0.05909,0.03986,1.01036
429532.0,-0.05911,0.03975,1.01033
430096.0,-0.05923,0.03987,1.0101
430660.0,-0.05912,0.03968,1.0101
431224.0,-0.05898,0.03972,1.01021
431788.0,-0.05896,0.03966,1.01019
432352.0,-0.05903,0.03961,1.01019
432916.0,-0.05909,0.03977,1.01013
433480.0,-0.05903,0.03973,1.01025
434044.0,-0.05908,0.03977,1.01023
434608.0,-0.05907,0.03961,1.01029
435172.0,-0.05887,0.0395,1.01043
435736.0,-0.05898,0.03965,1.01029
436300.0,-0.05893,0.03955,1.01029
436864.0,-0.05905,0.03974,1.01011
437428.0,-0.05905,0.03962,1.01014
437992.0,-0.05888,0.03954,1.01028
438556.0,-0.05905,0.03976,1.01022
439120.0,-0.05907,0.03978,1.01022
439684.0,-0.05894,0.03955,1.01024
440248.0,-0.05881,0.03952,1.01019
440812.0,-0.05887,0.03956,1.01022
441376.0,-0.05886,0.03953,1.01041
441940.0,-0.05882,0.0396,1.01035
442504.0,-0.05897,0.03963,1.01017
443068.0,-0.05897,0.03963,1.0103
443632.0,-0.05903,0.0397,1.01031
444196.0,-0.05908,0.03966,1.01025
444760.0,-0.05899,0.03958,1.0102
445324.0,-0.05904,0.03972,1.01012
445888.0,-0.05908,0.03965,1.0102
446452.0,-0.05888,0.03958,1.01029
447016.0,-0.05901,0.03965,1.01032
