TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
983844.0,-0.05873,0.03952,1.01049
984728.0,-0.05872,0.03946,1.01052
985612.0,-0.05876,0.03946,1.01042
986496.0,-0.05877,0.0395,1.01049
987380.0,-0.05876,0.03946,1.01039
988264.0,-0.05886,0.03956,1.01009
989148.0,-0.05885,0.03966,1.0101
990032.0,-0.05881,0.03954,1.01032
990916.0,-0.05875,0.03952,1.0103
991800.0,-0.05876,0.0396,1.01018
992684.0,-0.05888,0.03965,1.01015
993568.0,-0.05887,0.03958,1.01032
994452.0,-0.05893,0.03976,1.01023
995336.0,-0.05893,0.03977,1.01015
996220.0,-0.05886,0.03962,1.01035
997104.0,-0.05881,0.03958,1.01029
997988.0,-0.05889,0.03968,1.01037
998872.0,-0.05892,0.03977,1.01024
999756.0,-0.05886,0.03969,1.01044
1000640.0,-0.05885,0.03973,1.01042
1001524.0,-0.05881,0.03965,1.01039
1002408.0,-0.05889,0.03977,1.01026
1003292.0,-0.05876,0.03961,1.01038
1004176.0,-0.05879,0.03958,1.01033
1005060.0,-0.05894,0.03986,1.01019
1005944.0,-0.05895,0.03977,1.01022
1006828.0,-0.05902,0.03982,1.01015
1007712.0,-0.05899,0.0398,1.01011
1008596.0,-0.05891,0.03971,1.01047
1009480.0,-0.05892,0.03975,1.01022
1010364.0,-0.05894,0.03975,1.01038
1011248.0,-0.05901,0.03984,1.01025
1012132.0,-0.05879,0.03975,1.01041
1013016.0,-0.05895,0.03987,1.01029
1013900.0,-0.05885,0.03966,1.01035
1014784.0,-0.05874,0.0396,1.01031
1015668.0,-0.05883,0.03961,1.01035
1016552.0,-0.05897,0.03982,1.00998
1017436.0,-0.05894,0.03979,1.01008
1018320.0,-0.05878,0.03958,1.01004
1019204.0,-0.05881,0.03969,1.01007
1020088.0,-0.05885,0.03964,1.01009
1020972.0,-0.05884,0.03976,1.01008
1021856.0,-0.05883,0.0397,1.00995
1022740.0,-0.05889,0.03968,1.01018
1023624.0,-0.05879,0.0396,1.01
1024508.0,-0.05888,0.03979,1.00986
1025392.0,-0.05901,0.03977,1.0099
1026276.0,-0.05898,0.03981,1.00978
1027160.0,-0.05886,0.03973,1.00996
1028044.0,-0.05879,0.03964,1.00992
1028928.0,-0.05899,0.03969,1.00982
1029812.0,-0.05892,0.0397,1.00989
1030696.0,-0.05887,0.03969,1.00988
1031580.0,-0.05891,0.03973,1.00993
1032464.0,-0.05885,0.03967,1.01009
1033348.0,-0.05885,0.0397,1.01019
1034232.0,-0.05896,0.03982,1.01008
1035116.0,-0.05881,0.03973,1.01005
1036000.0,-0.05871,0.03951,1.01027
1036884.0,-0.05877,0.03949,1.01017
1037768.0,-0.05878,0.0395,1.0102
1038652.0,-0.0589,0.0397,1.00999
1039536.0,-0.05877,0.03957,1.01014
1040420.0,-0.05888,0.03963,1.01007
1041304.0,-0.05883,0.03965,1.01014
1042188.0,-0.05879,0.03963,1.0102
1043072.0,-0.05867,0.03952,1.01028
1043956.0,-0.0588,0.03963,1.01014
1044840.0,-0.05881,0.03956,1.01008
1045724.0,-0.05883,0.03956,1.0101
1046608.0,-0.05868,0.03956,1.0103
1047492.0,-0.05875,0.03955,1.01043
1048376.0,-0.05885,0.03968,1.01033
1049260.0,-0.05875,0.03952,1.01035
1050144.0,-0.05891,0.0397,1.01024
1051028.0,-0.0588,0.03966,1.01024
1051912.0,-0.05877,0.03955,1.01023
1052796.0,-0.05875,0.0396,1.01017
1053680.0,-0.05877,0.03964,1.01024
1054564.0,-0.05875,0.03958,1.01037
1055448.0,-0.05866,0.03949,1.01046
1056332.0,-0.05879,0.03954,1.01015
1057216.0,-0.05862,0.03931,1.01028
1058100.0,-0.05861,0.03948,1.01027
1058984.0,-0.05876,0.03956,1.01026
1059868.0,-0.05882,0.03959,1.01018
1060752.0,-0.0587,0.03957,1.01024
1061636.0,-0.05875,0.03963,1.01021
1062520.0,-0.05872,0.0395,1.01021
1063404.0,-0.05881,0.03962,1.0101
1064288.0,-0.05878,0.03953,1.01032
1065172.0,-0.0587,0.03959,1.01023
1066056.0,-0.0587,0.03955,1.01022
1066940.0,-0.0587,0.03946,1.01034
1067824.0,-0.05882,0.03967,1.01025
1068708.0,-0.05874,0.03947,1.01036
1069592.0,-0.0587,0.03951,1.01051
1070476.0,-0.05884,0.03954,1.01028
1071360.0,-0.05889,0.03964,1.01026
