TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
195156.0,-0.0592,0.0397,1.01
195560.0,-0.05914,0.0397,1.00996
195964.0,-0.05912,0.03959,1.01
196368.0,-0.05898,0.03955,1.01008
196772.0,-0.05911,0.03967,1.00989
197176.0,-0.05908,0.03978,1.0099
197580.0,-0.05907,0.03973,1.0098
197984.0,-0.05916,0.03963,1.0099
198388.0,-0.05919,0.03964,1.01003
198792.0,-0.05898,0.03958,1.0102
199196.0,-0.05904,0.03957,1.01021
199600.0,-0.059,0.03963,1.00997
200004.0,-0.05893,0.0395,1.01011
200408.0,-0.05907,0.03978,1.01006
200816.0,-0.059,0.0396,1.01003
201220.0,-0.05912,0.03981,1.01005
201624.0,-0.05906,0.03977,1.01002
202028.0,-0.05901,0.03964,1.01004
202436.0,-0.0589,0.03958,1.01009
202840.0,-0.05899,0.0397,1.01016
203244.0,-0.05908,0.03971,1.01016
203648.0,-0.059,0.0397,1.01018
204052.0,-0.05895,0.03956,1.01005
204456.0,-0.05888,0.03955,1.01015
204860.0,-0.0589,0.03965,1.01021
205264.0,-0.05899,0.03953,1.01025
205668.0,-0.05882,0.0394,1.01029
206072.0,-0.0589,0.03939,1.01022
206476.0,-0.05909,0.03964,1.01012
206880.0,-0.05905,0.03945,1.01024
207284.0,-0.05907,0.03951,1.01009
207688.0,-0.05887,0.03936,1.01028
208092.0,-0.05889,0.03937,1.01026
208496.0,-0.05895,0.03942,1.01021
208900.0,-0.05891,0.03947,1.01024
209304.0,-0.05871,0.03939,1.01024
209708.0,-0.05892,0.03937,1.01028
210112.0,-0.05892,0.03951,1.01018
210516.0,-0.0588,0.03959,1.01012
210920.0,-0.05892,0.03946,1.01018
211324.0,-0.05874,0.03935,1.01029
211728.0,-0.05874,0.03952,1.0102
212132.0,-0.05893,0.03966,1.00997
212536.0,-0.05882,0.0395,1.01014
212940.0,-0.05882,0.0395,1.01022
213344.0,-0.05883,0.03942,1.01018
213748.0,-0.05873,0.03947,1.01009
214152.0,-0.05883,0.03946,1.01024
214556.0,-0.05884,0.0393,1.01008
214960.0,-0.05895,0.03962,1.00996
215364.0,-0.05891,0.03972,1.01
215768.0,-0.05879,0.03946,1.01002
216172.0,-0.05895,0.0397,1.01006
216576.0,-0.05897,0.03977,1.01017
216980.0,-0.05892,0.03955,1.01008
217384.0,-0.05868,0.03943,1.01035
217788.0,-0.05869,0.03949,1.01023
218192.0,-0.05878,0.03939,1.01024
218596.0,-0.05884,0.03964,1.01023
219000.0,-0.05892,0.03965,1.01021
219404.0,-0.05887,0.03956,1.01039
219808.0,-0.05894,0.0396,1.01017
220212.0,-0.05878,0.0395,1.01043
220616.0,-0.05881,0.03937,1.01037
221020.0,-0.05889,0.03959,1.01028
221424.0,-0.05904,0.03973,1.01023
221828.0,-0.05908,0.03989,1.01032
222232.0,-0.05896,0.03958,1.01014
222636.0,-0.05917,0.03976,1.01022
223040.0,-0.05903,0.03969,1.01035
223444.0,-0.05895,0.03956,1.0103
223848.0,-0.05903,0.03973,1.01046
224252.0,-0.05912,0.03981,1.01036
224656.0,-0.05903,0.03957,1.01045
225060.0,-0.05904,0.03964,1.01043
225464.0,-0.05914,0.03967,1.01026
225868.0,-0.0592,0.0399,1.0103
226272.0,-0.05914,0.03985,1.01025
226676.0,-0.05903,0.03984,1.01029
227080.0,-0.05919,0.03984,1.01029
227484.0,-0.05903,0.03965,1.01037
227888.0,-0.05896,0.03963,1.01032
228292.0,-0.05897,0.03961,1.01035
228696.0,-0.0592,0.03986,1.01012
229100.0,-0.05904,0.03978,1.01021
229504.0,-0.05907,0.03983,1.01025
229908.0,-0.0591,0.0399,1.01029
230312.0,-0.05932,0.04006,1.01017
230716.0,-0.05927,0.03998,1.0102
231120.0,-0.05909,0.03988,1.01027
231524.0,-0.05923,0.0399,1.01023
231928.0,-0.05908,0.03976,1.01044
232332.0,-0.05906,0.03966,1.01042
232736.0,-0.0592,0.03978,1.01022
233140.0,-0.05909,0.0398,1.01013
233544.0,-0.05924,0.03978,1.0101
233948.0,-0.05915,0.03979,1.01018
234352.0,-0.05917,0.03972,1.01021
234756.0,-0.05924,0.03974,1.01031
235160.0,-0.05904,0.03968,1.01038
