TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
27840.0,-0.0593,0.03985,1.00992
28004.0,-0.05915,0.03976,1.00995
28168.0,-0.05911,0.03975,1.01022
28332.0,-0.05887,0.03954,1.01004
28496.0,-0.05918,0.03962,1.01012
28660.0,-0.05908,0.03968,1.01015
28824.0,-0.05929,0.0397,1.01025
28988.0,-0.05929,0.0396,1.01021
29152.0,-0.05942,0.03979,1.01034
29316.0,-0.05916,0.03961,1.01008
29480.0,-0.05922,0.03971,1.01001
29644.0,-0.05902,0.0396,1.01008
29808.0,-0.0589,0.03946,1.01005
29972.0,-0.05895,0.03964,1.01011
30136.0,-0.05909,0.0398,1.01017
30300.0,-0.0594,0.0399,1.00987
30464.0,-0.05914,0.03986,1.00996
30628.0,-0.05916,0.03976,1.01003
30792.0,-0.05911,0.03981,1.00995
30956.0,-0.05944,0.03991,1.00984
31120.0,-0.05933,0.03991,1.00995
31284.0,-0.05926,0.03974,1.00988
31448.0,-0.05949,0.03995,1.0098
31612.0,-0.05954,0.04018,1.01014
31776.0,-0.05943,0.03984,1.00979
31940.0,-0.05938,0.04,1.01006
32104.0,-0.05927,0.03989,1.01009
32268.0,-0.05925,0.03987,1.00993
32432.0,-0.05942,0.03992,1.0098
32596.0,-0.05916,0.03986,1.0099
32760.0,-0.05937,0.03981,1.00984
32924.0,-0.05922,0.03981,1.00987
33088.0,-0.05917,0.03988,1.00993
33252.0,-0.05933,0.03996,1.0098
33416.0,-0.05934,0.03998,1.00992
33580.0,-0.0591,0.03978,1.00982
33744.0,-0.05909,0.03976,1.00978
33908.0,-0.05928,0.04003,1.00974
34072.0,-0.05926,0.03993,1.0098
34236.0,-0.05923,0.03977,1.00975
34400.0,-0.05924,0.03983,1.00989
34564.0,-0.05928,0.03991,1.00999
34728.0,-0.05912,0.03981,1.00996
34892.0,-0.05927,0.04008,1.00993
35056.0,-0.05926,0.03978,1.01009
35220.0,-0.05906,0.03977,1.01027
35384.0,-0.05895,0.03966,1.0102
35548.0,-0.05933,0.03971,1.01025
35712.0,-0.05915,0.03962,1.01024
35876.0,-0.05916,0.0398,1.01031
36040.0,-0.0592,0.03977,1.01028
36204.0,-0.05899,0.03967,1.01028
36368.0,-0.05905,0.03957,1.01012
36532.0,-0.05905,0.03983,1.01014
36696.0,-0.05897,0.03951,1.01019
36860.0,-0.05919,0.0398,1.00981
37024.0,-0.05926,0.03953,1.01021
37188.0,-0.05916,0.03971,1.01009
37352.0,-0.05917,0.03975,1.0101
37516.0,-0.05895,0.03949,1.01019
37680.0,-0.05903,0.0395,1.01017
37844.0,-0.05896,0.03946,1.01022
38008.0,-0.05893,0.03945,1.01027
38172.0,-0.05909,0.03961,1.01026
38336.0,-0.05915,0.03957,1.01017
38500.0,-0.05901,0.03957,1.01027
38664.0,-0.05904,0.03958,1.01022
38828.0,-0.05926,0.03987,1.00999
38992.0,-0.05916,0.03982,1.00995
39156.0,-0.05933,0.04003,1.01004
39320.0,-0.05927,0.03978,1.00993
39484.0,-0.05928,0.03983,1.01021
39648.0,-0.05927,0.03978,1.01021
39812.0,-0.05935,0.04002,1.01013
39976.0,-0.05944,0.03992,1.00991
40140.0,-0.05925,0.03997,1.01014
40304.0,-0.05915,0.0398,1.01031
40468.0,-0.0593,0.03958,1.0102
40632.0,-0.05926,0.03966,1.01015
40796.0,-0.05936,0.03983,1.01029
40960.0,-0.05904,0.03967,1.01012
41124.0,-0.0593,0.03965,1.01024
41288.0,-0.0593,0.0397,1.01012
41452.0,-0.0593,0.03973,1.01026
41616.0,-0.05916,0.03981,1.01027
41780.0,-0.05912,0.03961,1.0102
41944.0,-0.05927,0.03988,1.01019
42108.0,-0.05907,0.03971,1.01
42272.0,-0.05893,0.03973,1.01014
42436.0,-0.05942,0.03995,1.01011
42600.0,-0.05915,0.03969,1.01021
42764.0,-0.05911,0.03967,1.01041
42928.0,-0.05902,0.03974,1.01017
43092.0,-0.05927,0.03964,1.01019
43256.0,-0.05931,0.03998,1.01008
43420.0,-0.0592,0.03977,1.01018
43584.0,-0.05934,0.03986,1.01038
43748.0,-0.05912,0.03987,1.01022
43912.0,-0.05922,0.03996,1.01036
44076.0,-0.05916,0.03972,1.01015
