TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
730096.0,-0.05874,0.03962,1.01011
730860.0,-0.0588,0.03965,1.01023
731624.0,-0.05885,0.03961,1.01012
732388.0,-0.05884,0.03957,1.01001
733152.0,-0.05887,0.03967,1.01002
733916.0,-0.05877,0.03959,1.01019
734680.0,-0.05888,0.03974,1.0102
735444.0,-0.0587,0.03956,1.0102
736208.0,-0.05879,0.03969,1.01012
736972.0,-0.05871,0.03945,1.01013
737736.0,-0.05877,0.03956,1.0101
738500.0,-0.05881,0.03964,1.01006
739264.0,-0.05876,0.03963,1.0102
740028.0,-0.05892,0.03974,1.01015
740792.0,-0.05882,0.03964,1.01032
741556.0,-0.05889,0.03975,1.01011
742320.0,-0.05902,0.03979,1.01015
743084.0,-0.05881,0.03962,1.01032
743848.0,-0.0589,0.0398,1.01018
744612.0,-0.05902,0.03974,1.01022
745376.0,-0.05871,0.03956,1.01038
746140.0,-0.05872,0.03959,1.01028
746904.0,-0.05889,0.03981,1.01038
747668.0,-0.05885,0.03969,1.01011
748432.0,-0.05901,0.03984,1.01021
749196.0,-0.05887,0.03971,1.01029
749960.0,-0.05885,0.03961,1.01037
750724.0,-0.05882,0.03962,1.01044
751488.0,-0.05888,0.03966,1.01051
752252.0,-0.0589,0.03963,1.01029
753020.0,-0.05881,0.03959,1.0103
753784.0,-0.05878,0.03951,1.01036
754548.0,-0.05886,0.03972,1.01036
755312.0,-0.05879,0.03961,1.01037
756076.0,-0.05875,0.03945,1.01027
756840.0,-0.05888,0.03958,1.01025
757604.0,-0.05896,0.03966,1.00997
758368.0,-0.05896,0.03967,1.01012
759132.0,-0.05889,0.03961,1.00995
759896.0,-0.0589,0.0395,1.01003
760660.0,-0.05902,0.03964,1.00989
761424.0,-0.05913,0.03973,1.00993
762188.0,-0.05905,0.03976,1.00975
762952.0,-0.05902,0.03985,1.00975
763716.0,-0.05906,0.03992,1.00976
764480.0,-0.05899,0.03973,1.00985
765244.0,-0.05899,0.03976,1.00992
766008.0,-0.05902,0.03987,1.01003
766772.0,-0.05889,0.03976,1.01006
767536.0,-0.05883,0.03959,1.01013
768300.0,-0.05884,0.03974,1.01021
769064.0,-0.05888,0.03963,1.01015
769828.0,-0.05907,0.03977,1.01001
770592.0,-0.0591,0.03981,1.01008
771356.0,-0.05904,0.03978,1.01008
772120.0,-0.05905,0.03994,1.01006
772884.0,-0.05897,0.03977,1.01005
773648.0,-0.05899,0.03969,1.00995
774412.0,-0.05908,0.03985,1.00988
775176.0,-0.05898,0.03981,1.01
775940.0,-0.05894,0.03969,1.0101
776704.0,-0.05902,0.03976,1.01011
777468.0,-0.05897,0.0396,1.0102
778232.0,-0.059,0.03977,1.01013
778996.0,-0.05887,0.03976,1.01009
779760.0,-0.05889,0.0397,1.01025
780524.0,-0.05893,0.03963,1.01018
781288.0,-0.05886,0.03963,1.00998
782052.0,-0.05902,0.03973,1.01003
782816.0,-0.05881,0.03976,1.01012
783580.0,-0.05886,0.03971,1.01021
784344.0,-0.05872,0.03944,1.01017
785108.0,-0.05866,0.03937,1.01018
785872.0,-0.05866,0.03948,1.01016
786636.0,-0.0589,0.03957,1.0101
787400.0,-0.05885,0.0397,1.01011
788164.0,-0.05882,0.03961,1.01022
788928.0,-0.05896,0.03978,1.01027
789692.0,-0.05898,0.03974,1.01018
790456.0,-0.05888,0.03964,1.01016
791220.0,-0.05892,0.03967,1.01011
791984.0,-0.05891,0.03971,1.01012
792748.0,-0.0589,0.03961,1.01024
793512.0,-0.059,0.03964,1.01023
794276.0,-0.05883,0.0395,1.01042
795040.0,-0.05884,0.03949,1.01037
795804.0,-0.05893,0.03969,1.01014
796568.0,-0.05893,0.0396,1.0102
797332.0,-0.05893,0.03973,1.01014
798096.0,-0.05908,0.03975,1.01017
798860.0,-0.05909,0.0398,1.01027
799624.0,-0.0589,0.03978,1.01044
800388.0,-0.05889,0.03968,1.01045
801152.0,-0.05879,0.03964,1.01052
801916.0,-0.05885,0.03969,1.01042
802680.0,-0.05882,0.03964,1.01048
803444.0,-0.0589,0.03978,1.01046
804208.0,-0.05897,0.0398,1.01041
804972.0,-0.05909,0.03986,1.0103
805736.0,-0.05909,0.03989,1.01014
