TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
92608.0,-0.05908,0.03968,1.01025
92892.0,-0.05911,0.0397,1.01032
93176.0,-0.05918,0.03976,1.01021
93460.0,-0.05918,0.03978,1.00993
93744.0,-0.05922,0.03989,1.00982
94028.0,-0.05904,0.03958,1.00988
94312.0,-0.05929,0.03982,1.01002
94596.0,-0.05924,0.03994,1.00987
94880.0,-0.05895,0.03958,1.01021
95164.0,-0.05884,0.03943,1.01002
95448.0,-0.05922,0.03972,1.01016
95732.0,-0.059,0.03967,1.01038
96016.0,-0.05909,0.03968,1.01024
96300.0,-0.05904,0.03962,1.01022
96584.0,-0.05928,0.03991,1.01013
96868.0,-0.05905,0.03974,1.01015
97152.0,-0.05904,0.0396,1.0101
97436.0,-0.05896,0.03955,1.01018
97720.0,-0.05923,0.03969,1.01021
98004.0,-0.05923,0.03964,1.01027
98288.0,-0.05914,0.03974,1.01019
98572.0,-0.0592,0.03991,1.01017
98856.0,-0.05915,0.0398,1.0101
99140.0,-0.05937,0.03988,1.01004
99424.0,-0.0594,0.03997,1.01012
99708.0,-0.05934,0.0399,1.00981
99992.0,-0.05929,0.0399,1.0099
100276.0,-0.05929,0.04004,1.01003
100560.0,-0.05931,0.03992,1.00994
100844.0,-0.05941,0.03981,1.00994
101128.0,-0.05918,0.03984,1.01018
101412.0,-0.0592,0.03977,1.01023
101696.0,-0.05915,0.03976,1.01009
101980.0,-0.05913,0.03966,1.01001
102264.0,-0.05915,0.03974,1.01016
102548.0,-0.0591,0.03992,1.00989
102832.0,-0.05927,0.0399,1.00978
103116.0,-0.05922,0.03991,1.00984
103400.0,-0.05909,0.0396,1.00998
103684.0,-0.05908,0.03967,1.01003
103968.0,-0.05912,0.03971,1.0101
104252.0,-0.05919,0.03973,1.00998
104536.0,-0.05906,0.03962,1.0102
104820.0,-0.05931,0.03984,1.00992
105104.0,-0.05883,0.0394,1.01015
105388.0,-0.05888,0.03952,1.0101
105672.0,-0.059,0.03951,1.01037
105956.0,-0.05903,0.03965,1.01024
106240.0,-0.05925,0.03982,1.01007
106524.0,-0.05902,0.03956,1.01002
106808.0,-0.05904,0.03958,1.01028
107092.0,-0.05902,0.0396,1.01035
107376.0,-0.05899,0.03954,1.01024
107660.0,-0.05911,0.03974,1.01023
107944.0,-0.05915,0.03976,1.01006
108228.0,-0.05902,0.03961,1.01025
108512.0,-0.05927,0.03982,1.01006
108796.0,-0.05935,0.03997,1.00992
109080.0,-0.05915,0.0397,1.00994
109364.0,-0.05908,0.03963,1.01005
109648.0,-0.05928,0.03991,1.00995
109932.0,-0.0591,0.03977,1.01012
110216.0,-0.05895,0.03959,1.01007
110500.0,-0.05905,0.03982,1.01016
110784.0,-0.05905,0.03974,1.00999
111068.0,-0.05902,0.03967,1.01009
111352.0,-0.05901,0.03964,1.0101
111636.0,-0.05901,0.03963,1.0101
111920.0,-0.05916,0.03969,1.01012
112204.0,-0.05919,0.03967,1.01009
112488.0,-0.05908,0.03961,1.01009
112772.0,-0.05918,0.03975,1.01024
113056.0,-0.05911,0.0397,1.01025
113340.0,-0.05895,0.03972,1.01013
113624.0,-0.05926,0.0398,1.01002
113908.0,-0.05915,0.03988,1.01004
114192.0,-0.05922,0.03994,1.01006
114476.0,-0.05905,0.03986,1.00997
114760.0,-0.05929,0.03992,1.01005
115044.0,-0.05917,0.03975,1.01006
115328.0,-0.05911,0.03985,1.01023
115612.0,-0.05901,0.03957,1.01012
115896.0,-0.05907,0.03962,1.01017
116180.0,-0.05909,0.03961,1.01017
116464.0,-0.05903,0.03968,1.01028
116748.0,-0.05895,0.03967,1.01023
117032.0,-0.05908,0.03979,1.01033
117316.0,-0.05901,0.03949,1.01004
117600.0,-0.05918,0.03981,1.01
117884.0,-0.05908,0.03965,1.00995
118168.0,-0.05918,0.03972,1.00999
118452.0,-0.0593,0.03996,1.0098
118736.0,-0.05915,0.03982,1.00985
119020.0,-0.05921,0.03987,1.00983
119304.0,-0.05931,0.0401,1.00985
119588.0,-0.0592,0.03992,1.0098
119872.0,-0.05919,0.04009,1.01004
120156.0,-0.05926,0.03989,1.01011
120440.0,-0.05932,0.04014,1.00991
120724.0,-0.05929,0.04005,1.01006
