TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
810480.0,-0.05898,0.03965,1.01043
811284.0,-0.059,0.03969,1.01051
812088.0,-0.05877,0.03967,1.01055
812892.0,-0.05899,0.03981,1.01035
813696.0,-0.05867,0.03948,1.01054
814500.0,-0.05855,0.03935,1.01067
815304.0,-0.05874,0.03945,1.01051
816108.0,-0.05868,0.03935,1.01052
816912.0,-0.05878,0.03944,1.01052
817716.0,-0.05868,0.03931,1.0105
818520.0,-0.05873,0.03955,1.01029
819324.0,-0.05856,0.03935,1.01049
820128.0,-0.05858,0.03941,1.01064
820932.0,-0.05864,0.03938,1.01051
821736.0,-0.05867,0.03934,1.01056
822540.0,-0.05866,0.03931,1.01048
823344.0,-0.05879,0.03937,1.01039
824148.0,-0.0587,0.03944,1.01045
824952.0,-0.05879,0.03944,1.01021
825756.0,-0.0588,0.03945,1.01026
826560.0,-0.05878,0.03957,1.01025
827364.0,-0.05871,0.03951,1.0104
828168.0,-0.05879,0.03952,1.01042
828972.0,-0.05875,0.03946,1.01056
829776.0,-0.05868,0.03948,1.01048
830580.0,-0.05879,0.0396,1.01044
831384.0,-0.05867,0.03945,1.01046
832188.0,-0.05868,0.03952,1.01035
832992.0,-0.05877,0.03956,1.01028
833796.0,-0.05878,0.03961,1.01028
834600.0,-0.05878,0.03958,1.01026
835404.0,-0.05864,0.03934,1.01043
836208.0,-0.05864,0.03935,1.01043
837012.0,-0.05884,0.03949,1.01025
837816.0,-0.05879,0.03942,1.01035
838620.0,-0.05883,0.03946,1.01029
839424.0,-0.05879,0.03931,1.01043
840228.0,-0.05857,0.03927,1.01057
841032.0,-0.0586,0.03935,1.01054
841836.0,-0.05875,0.03944,1.01035
842640.0,-0.05865,0.03935,1.01022
843444.0,-0.05856,0.03927,1.01042
844248.0,-0.05852,0.03924,1.01064
845052.0,-0.05855,0.03933,1.01052
845856.0,-0.05863,0.03935,1.01038
846660.0,-0.05866,0.03932,1.01046
847464.0,-0.05855,0.03925,1.01065
848268.0,-0.05859,0.03939,1.01041
849072.0,-0.05868,0.03938,1.01033
849876.0,-0.0586,0.03937,1.01052
850680.0,-0.0587,0.03931,1.01063
851484.0,-0.05853,0.0393,1.01066
852288.0,-0.05855,0.03929,1.01062
853092.0,-0.05861,0.03943,1.01049
853896.0,-0.05855,0.03942,1.01048
854700.0,-0.05858,0.03929,1.01047
855504.0,-0.05855,0.03931,1.01057
856308.0,-0.05863,0.03941,1.01043
857112.0,-0.05849,0.03923,1.01067
857916.0,-0.05835,0.03929,1.01074
858720.0,-0.05844,0.03932,1.0106
859524.0,-0.05856,0.03933,1.01041
860328.0,-0.05855,0.03942,1.01049
861132.0,-0.05863,0.03935,1.01051
861936.0,-0.05853,0.0393,1.01048
862740.0,-0.05855,0.03921,1.01038
863544.0,-0.05859,0.03939,1.01035
864348.0,-0.05863,0.0394,1.01042
865152.0,-0.05862,0.03933,1.01042
865956.0,-0.05858,0.03954,1.01026
866760.0,-0.0586,0.03945,1.01039
867564.0,-0.05877,0.03953,1.01034
868368.0,-0.0586,0.03928,1.01045
869172.0,-0.0586,0.03925,1.01029
869976.0,-0.05864,0.03934,1.01024
870780.0,-0.05865,0.03933,1.01033
871584.0,-0.05876,0.03946,1.01029
872388.0,-0.05863,0.03934,1.01041
873192.0,-0.05874,0.03937,1.01029
873996.0,-0.05875,0.03949,1.0102
874800.0,-0.05889,0.03963,1.01029
875604.0,-0.05868,0.03942,1.01041
876408.0,-0.0588,0.03957,1.0104
877212.0,-0.05872,0.03952,1.01047
878016.0,-0.05879,0.03944,1.01058
878820.0,-0.05853,0.03928,1.01047
879624.0,-0.05859,0.03931,1.01042
880428.0,-0.05858,0.03944,1.01044
881232.0,-0.05881,0.03964,1.01012
882036.0,-0.05873,0.03957,1.01033
882840.0,-0.05872,0.03955,1.0104
883644.0,-0.05874,0.03954,1.01036
884448.0,-0.05881,0.03957,1.01026
885252.0,-0.05879,0.03961,1.01026
886056.0,-0.05889,0.03956,1.01025
886860.0,-0.05887,0.03973,1.01038
887664.0,-0.05882,0.03959,1.0104
888468.0,-0.05871,0.03959,1.01053
889272.0,-0.05881,0.03965,1.01048
890076.0,-0.05878,0.03961,1.01036
