TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
896.0,-0.05908,0.03962,1.0101
940.0,-0.05928,0.03989,1.01052
984.0,-0.05945,0.03996,1.0101
1028.0,-0.05941,0.04005,1.0101
1072.0,-0.05968,0.04012,1.01035
1116.0,-0.05909,0.03959,1.01003
1160.0,-0.05938,0.03976,1.01033
1204.0,-0.05938,0.04003,1.01008
1248.0,-0.05927,0.04008,1.01027
1292.0,-0.05906,0.03972,1.01066
1336.0,-0.05907,0.03949,1.01019
1380.0,-0.05909,0.03958,1.01044
1424.0,-0.05914,0.0398,1.01062
1468.0,-0.05907,0.0393,1.01004
1512.0,-0.05916,0.03965,1.01026
1556.0,-0.05898,0.03942,1.01039
1600.0,-0.05891,0.0395,1.01024
1644.0,-0.0594,0.03985,1.00994
1688.0,-0.05944,0.04005,1.01009
1732.0,-0.05944,0.03997,1.01023
1776.0,-0.05954,0.03995,1.00992
1820.0,-0.05945,0.03967,1.01052
1864.0,-0.05882,0.03943,1.01001
1908.0,-0.05922,0.03957,1.00996
1952.0,-0.05864,0.03928,1.01033
1996.0,-0.05902,0.03957,1.01022
2040.0,-0.05894,0.0395,1.01026
2084.0,-0.05894,0.03933,1.01019
2128.0,-0.0592,0.03955,1.01005
2172.0,-0.05924,0.03976,1.00995
2216.0,-0.05932,0.03995,1.00985
2260.0,-0.05947,0.03992,1.00998
2304.0,-0.05923,0.03983,1.01003
2348.0,-0.05928,0.04003,1.00992
2392.0,-0.05953,0.0399,1.01038
2436.0,-0.05936,0.03981,1.00988
2480.0,-0.05943,0.03956,1.01012
2524.0,-0.05921,0.0398,1.01035
2568.0,-0.05933,0.03961,1.01028
2612.0,-0.05929,0.03947,1.01054
2656.0,-0.05908,0.03942,1.01047
2700.0,-0.05936,0.03993,1.01034
2744.0,-0.05921,0.03946,1.01022
2788.0,-0.05941,0.0399,1.01037
2832.0,-0.059,0.03959,1.01041
2876.0,-0.05889,0.03963,1.01028
2920.0,-0.05909,0.03958,1.0102
2964.0,-0.05875,0.03914,1.01028
3008.0,-0.05899,0.03992,1.01014
3052.0,-0.05893,0.0395,1.0104
3096.0,-0.05927,0.03998,1.01037
3140.0,-0.05902,0.03978,1.01012
3184.0,-0.05929,0.03991,1.01059
3228.0,-0.05916,0.03977,1.01019
3272.0,-0.05947,0.03983,1.01031
3316.0,-0.05926,0.03951,1.01017
3360.0,-0.05902,0.03949,1.01031
3404.0,-0.05893,0.03984,1.01021
3448.0,-0.05949,0.03991,1.01031
3492.0,-0.0592,0.03983,1.01035
3536.0,-0.05924,0.03975,1.01042
3580.0,-0.05922,0.0393,1.01015
3624.0,-0.05934,0.03981,1.01058
3668.0,-0.05934,0.03998,1.01037
3712.0,-0.05932,0.0398,1.01033
3756.0,-0.059,0.03953,1.01016
3800.0,-0.05896,0.0396,1.01021
3844.0,-0.0589,0.03976,1.01042
3888.0,-0.05916,0.03992,1.01024
3932.0,-0.05891,0.03985,1.01027
3976.0,-0.05909,0.03955,1.01028
4020.0,-0.05915,0.03978,1.00996
4064.0,-0.05912,0.03964,1.01013
4108.0,-0.05931,0.04007,1.01041
4152.0,-0.05937,0.04,1.01042
4196.0,-0.05932,0.03948,1.01039
4240.0,-0.05922,0.03956,1.01021
4284.0,-0.05922,0.03988,1.01012
4328.0,-0.05906,0.03983,1.01009
4372.0,-0.05937,0.04005,1.01013
4416.0,-0.05925,0.03967,1.01003
4460.0,-0.05925,0.03953,1.01036
4504.0,-0.05921,0.04001,1.01018
4548.0,-0.05893,0.03916,1.01021
4592.0,-0.05904,0.03959,1.00991
4636.0,-0.05961,0.0398,1.01017
4680.0,-0.05932,0.03966,1.01027
4724.0,-0.05893,0.03942,1.00979
4768.0,-0.05931,0.04025,1.00977
4812.0,-0.05926,0.03999,1.00991
4856.0,-0.05935,0.04003,1.00993
4900.0,-0.05943,0.04007,1.01011
4944.0,-0.05922,0.03946,1.00985
4988.0,-0.05954,0.03997,1.01031
5032.0,-0.05925,0.0398,1.01024
5076.0,-0.05915,0.0398,1.01026
5120.0,-0.0592,0.03976,1.00996
5164.0,-0.05911,0.03978,1.01011
5208.0,-0.05895,0.03971,1.01011
5252.0,-0.05898,0.03954,1.01017
