TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
14656.0,-0.05943,0.04012,1.00992
14780.0,-0.05917,0.0397,1.01003
14904.0,-0.05906,0.03982,1.00995
15028.0,-0.0592,0.0399,1.01015
15152.0,-0.0592,0.03992,1.01006
15276.0,-0.05931,0.0399,1.01004
15400.0,-0.05939,0.0399,1.01011
15524.0,-0.05924,0.03981,1.01014
15648.0,-0.05915,0.03969,1.01008
15772.0,-0.05902,0.03989,1.00998
15896.0,-0.05903,0.03989,1.00999
16024.0,-0.05942,0.04005,1.00993
16148.0,-0.05929,0.03998,1.00985
16272.0,-0.05946,0.04007,1.00995
16396.0,-0.05915,0.03995,1.0098
16520.0,-0.05932,0.04007,1.00996
16644.0,-0.05933,0.04002,1.00995
16768.0,-0.05935,0.04006,1.01
16892.0,-0.05939,0.03995,1.00998
17016.0,-0.05942,0.03993,1.01009
17140.0,-0.05893,0.03965,1.01006
17264.0,-0.0593,0.04012,1.00988
17388.0,-0.05963,0.04007,1.00983
17512.0,-0.05931,0.03981,1.00991
17636.0,-0.05915,0.03978,1.01006
17760.0,-0.05928,0.04007,1.01007
17884.0,-0.05909,0.03988,1.00999
18008.0,-0.05935,0.03993,1.01006
18132.0,-0.05917,0.03993,1.01029
18256.0,-0.05923,0.0402,1.00993
18380.0,-0.05914,0.04009,1.01007
18504.0,-0.05914,0.03989,1.01013
18628.0,-0.05915,0.03989,1.00986
18752.0,-0.05908,0.03988,1.00992
18876.0,-0.05938,0.03999,1.01003
19000.0,-0.05916,0.03988,1.01002
19124.0,-0.05903,0.03994,1.01006
19248.0,-0.05937,0.03981,1.01004
19372.0,-0.05941,0.04005,1.01018
19496.0,-0.05931,0.04001,1.01005
19620.0,-0.05918,0.03991,1.01007
19744.0,-0.05937,0.03999,1.00995
19868.0,-0.05938,0.0401,1.0099
19992.0,-0.05936,0.03994,1.00989
20116.0,-0.05928,0.03987,1.00998
20240.0,-0.05916,0.03978,1.01004
20364.0,-0.05915,0.03968,1.00992
20488.0,-0.05922,0.0402,1.00982
20612.0,-0.05953,0.04021,1.00985
20736.0,-0.0594,0.03985,1.00998
20860.0,-0.0589,0.03962,1.00984
20984.0,-0.05929,0.03979,1.00995
21108.0,-0.05947,0.04006,1.00975
21232.0,-0.05921,0.03971,1.00982
21356.0,-0.0591,0.03968,1.0098
21480.0,-0.0594,0.04004,1.00968
21604.0,-0.05927,0.03995,1.01001
21728.0,-0.05918,0.03962,1.0103
21852.0,-0.05938,0.03992,1.01012
21976.0,-0.05962,0.0399,1.00981
22100.0,-0.05946,0.04003,1.00979
22224.0,-0.05916,0.03964,1.01006
22348.0,-0.05919,0.03975,1.01004
22472.0,-0.05925,0.03972,1.00975
22596.0,-0.05924,0.03981,1.00986
22720.0,-0.05939,0.04003,1.00998
22844.0,-0.05928,0.03976,1.01001
22968.0,-0.05927,0.03959,1.00998
23092.0,-0.05923,0.03961,1.01007
23216.0,-0.05903,0.0397,1.01011
23340.0,-0.05903,0.03964,1.01008
23464.0,-0.05929,0.03971,1.01027
23588.0,-0.05918,0.03976,1.01004
23712.0,-0.05958,0.03996,1.00993
23836.0,-0.05918,0.03976,1.00992
23960.0,-0.05934,0.03986,1.00991
24084.0,-0.05918,0.03995,1.00985
24208.0,-0.05916,0.03983,1.00985
24332.0,-0.05932,0.04017,1.00993
24456.0,-0.05954,0.04008,1.00994
24580.0,-0.05921,0.04005,1.00993
24704.0,-0.05932,0.03987,1.00992
24828.0,-0.05914,0.03966,1.00993
24952.0,-0.05918,0.03975,1.01006
25076.0,-0.05887,0.03986,1.01
25200.0,-0.05926,0.03996,1.01017
25324.0,-0.05919,0.03982,1.01007
25448.0,-0.05937,0.0399,1.00994
25572.0,-0.05922,0.03984,1.00994
25696.0,-0.05932,0.03986,1.00999
25820.0,-0.05935,0.03984,1.01009
25944.0,-0.05907,0.03973,1.01012
26068.0,-0.05906,0.03986,1.01019
26192.0,-0.05912,0.03995,1.00998
26316.0,-0.0593,0.04021,1.01007
26440.0,-0.05901,0.03969,1.01013
26564.0,-0.05903,0.0396,1.01024
26688.0,-0.05905,0.03987,1.01016
26812.0,-0.05901,0.03951,1.01004
26936.0,-0.05898,0.03935,1.01001
