TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
237744.0,-0.05901,0.03968,1.01053
238192.0,-0.05897,0.03967,1.01054
238636.0,-0.05898,0.03951,1.01047
239080.0,-0.0591,0.03963,1.01041
239524.0,-0.05921,0.03979,1.01028
239968.0,-0.05908,0.0397,1.01027
240412.0,-0.059,0.03955,1.01046
240856.0,-0.05893,0.03953,1.01039
241300.0,-0.05889,0.03953,1.01031
241744.0,-0.05902,0.03975,1.01014
242188.0,-0.05903,0.03972,1.01028
242632.0,-0.05917,0.03982,1.01024
243076.0,-0.05912,0.03977,1.01025
243520.0,-0.05909,0.03956,1.01027
243964.0,-0.05905,0.03959,1.01049
244408.0,-0.05893,0.03959,1.01037
244852.0,-0.05895,0.03956,1.01032
245296.0,-0.05901,0.0396,1.01023
245740.0,-0.05904,0.03962,1.01039
246184.0,-0.05885,0.03965,1.01046
246628.0,-0.05904,0.03968,1.01045
247072.0,-0.05923,0.03974,1.01029
247516.0,-0.05893,0.03953,1.01041
247960.0,-0.05923,0.03989,1.01037
248404.0,-0.05904,0.03978,1.01039
248848.0,-0.05896,0.03961,1.01044
249292.0,-0.05903,0.03971,1.01037
249736.0,-0.05904,0.03974,1.01039
250180.0,-0.0592,0.03976,1.01037
250624.0,-0.05906,0.03968,1.01036
251068.0,-0.05909,0.0398,1.01041
251512.0,-0.05908,0.03976,1.01056
251956.0,-0.05902,0.03974,1.01056
252400.0,-0.05892,0.03966,1.0107
252844.0,-0.0591,0.03979,1.01049
253288.0,-0.05916,0.03994,1.01028
253732.0,-0.05928,0.03988,1.01032
254176.0,-0.05918,0.03972,1.01032
254620.0,-0.05906,0.03972,1.01051
255064.0,-0.05917,0.03984,1.01048
255508.0,-0.05904,0.03972,1.01023
255952.0,-0.0591,0.03973,1.01029
256396.0,-0.0589,0.03966,1.01023
256840.0,-0.05902,0.03959,1.01028
257284.0,-0.0589,0.03955,1.01028
257728.0,-0.0589,0.03952,1.01039
258172.0,-0.05896,0.03962,1.01037
258616.0,-0.05899,0.03957,1.01029
259060.0,-0.05904,0.03958,1.01031
259504.0,-0.059,0.03963,1.01024
259948.0,-0.05912,0.03982,1.0101
260392.0,-0.05912,0.03987,1.01001
260836.0,-0.05907,0.03983,1.00993
261280.0,-0.05896,0.03962,1.01017
261724.0,-0.05885,0.0394,1.01017
262168.0,-0.05895,0.0395,1.01009
262612.0,-0.05895,0.03958,1.01027
263056.0,-0.05891,0.03952,1.0104
263500.0,-0.05907,0.03964,1.01029
263944.0,-0.05895,0.03963,1.01043
264388.0,-0.05895,0.03968,1.01036
264832.0,-0.05886,0.03939,1.01042
265276.0,-0.05896,0.03959,1.0105
265720.0,-0.05901,0.03965,1.01034
266164.0,-0.05891,0.03956,1.01045
266608.0,-0.05904,0.03965,1.01027
267052.0,-0.05894,0.03954,1.01036
267496.0,-0.059,0.03964,1.01025
267940.0,-0.05896,0.03952,1.01026
268384.0,-0.05906,0.0396,1.01024
268828.0,-0.05897,0.03958,1.01031
269272.0,-0.05898,0.03964,1.01018
269716.0,-0.05914,0.03979,1.01007
270160.0,-0.05889,0.03942,1.01052
270604.0,-0.05915,0.0396,1.01045
271048.0,-0.05902,0.03958,1.0102
271492.0,-0.05889,0.03942,1.01018
271936.0,-0.05892,0.03951,1.01019
272380.0,-0.05901,0.0396,1.01031
272824.0,-0.05895,0.03964,1.01037
273268.0,-0.05889,0.03959,1.01036
273712.0,-0.05886,0.03958,1.01047
274156.0,-0.0588,0.03963,1.01045
274600.0,-0.05876,0.03955,1.01043
275044.0,-0.05879,0.03955,1.01026
275488.0,-0.05882,0.03953,1.01031
275932.0,-0.05892,0.03961,1.0102
276376.0,-0.05895,0.03958,1.01026
276820.0,-0.05889,0.03948,1.01019
277264.0,-0.05902,0.03967,1.01027
277708.0,-0.05905,0.0397,1.01021
278152.0,-0.05902,0.0396,1.01012
278596.0,-0.05877,0.03959,1.01038
279040.0,-0.059,0.03968,1.01027
279484.0,-0.0589,0.03967,1.01035
279928.0,-0.05887,0.03963,1.0104
280372.0,-0.05898,0.03953,1.01044
280816.0,-0.05898,0.03965,1.01034
281260.0,-0.05892,0.03958,1.01037
281704.0,-0.05902,0.03971,1.01034
