TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
335996.0,-0.05889,0.03959,1.01033
336520.0,-0.05901,0.03967,1.01031
337044.0,-0.059,0.03979,1.01017
337568.0,-0.05902,0.03975,1.01027
338092.0,-0.05884,0.03943,1.01042
338616.0,-0.05882,0.03951,1.01024
339140.0,-0.059,0.03975,1.0101
339664.0,-0.05893,0.03968,1.01013
340188.0,-0.05893,0.03978,1.01001
340712.0,-0.05889,0.03965,1.01005
341236.0,-0.05887,0.03963,1.00995
341760.0,-0.05892,0.03956,1.00994
342284.0,-0.05901,0.03968,1.01006
342808.0,-0.05899,0.03972,1.01015
343332.0,-0.05909,0.0399,1.01016
343856.0,-0.05895,0.03957,1.01033
344380.0,-0.05906,0.03971,1.0102
344904.0,-0.05916,0.03975,1.01012
345428.0,-0.05906,0.03971,1.01028
345952.0,-0.05893,0.03963,1.01042
346476.0,-0.05882,0.03936,1.01049
347000.0,-0.05904,0.03954,1.01029
347524.0,-0.05892,0.03959,1.01029
348048.0,-0.05917,0.03977,1.01019
348572.0,-0.05907,0.03957,1.01019
349096.0,-0.05889,0.03952,1.01033
349620.0,-0.05903,0.03976,1.01023
350144.0,-0.05896,0.03966,1.01028
350668.0,-0.05895,0.03957,1.01027
351192.0,-0.05913,0.03977,1.01017
351716.0,-0.059,0.03968,1.01033
352240.0,-0.05897,0.03966,1.01041
352764.0,-0.05895,0.03961,1.01049
353288.0,-0.05898,0.0396,1.01033
353812.0,-0.05914,0.03972,1.01019
354336.0,-0.05917,0.03973,1.01023
354860.0,-0.05902,0.03966,1.01016
355384.0,-0.05906,0.03973,1.01023
355908.0,-0.05898,0.03955,1.01036
356432.0,-0.05898,0.03976,1.01028
356956.0,-0.05905,0.0397,1.01025
357480.0,-0.05918,0.03975,1.01023
358004.0,-0.05898,0.03955,1.01025
358528.0,-0.05917,0.03967,1.0102
359052.0,-0.05916,0.03966,1.01012
359576.0,-0.05912,0.03957,1.01016
360100.0,-0.05912,0.03965,1.0101
360624.0,-0.059,0.03963,1.01028
361148.0,-0.05891,0.03955,1.01012
361672.0,-0.059,0.03963,1.0104
362196.0,-0.05894,0.03952,1.01029
362720.0,-0.05903,0.03954,1.01033
363244.0,-0.05911,0.03964,1.01012
363768.0,-0.05907,0.03955,1.01027
364292.0,-0.05915,0.0397,1.01008
364816.0,-0.05908,0.03984,1.01024
365340.0,-0.05911,0.03977,1.01032
365864.0,-0.05916,0.03975,1.01004
366388.0,-0.0592,0.03971,1.01005
366912.0,-0.05915,0.03986,1.01014
367436.0,-0.059,0.03962,1.01029
367960.0,-0.05891,0.03956,1.01024
368484.0,-0.05891,0.03956,1.01028
369008.0,-0.05889,0.03968,1.01022
369532.0,-0.05907,0.03969,1.01024
370056.0,-0.05904,0.03977,1.01026
370580.0,-0.05893,0.03965,1.0102
371104.0,-0.05887,0.03964,1.01015
371628.0,-0.05925,0.03996,1.01016
372152.0,-0.05907,0.03982,1.01014
372676.0,-0.05909,0.03972,1.01018
373200.0,-0.05907,0.03974,1.01017
373724.0,-0.0591,0.03973,1.01006
374248.0,-0.05915,0.03977,1.01013
374772.0,-0.05893,0.03955,1.0102
375296.0,-0.05888,0.03953,1.01029
375820.0,-0.0591,0.03982,1.01017
376344.0,-0.05884,0.03951,1.01036
376868.0,-0.05899,0.0397,1.01019
377392.0,-0.05919,0.03975,1.01027
377916.0,-0.05907,0.03978,1.0102
378440.0,-0.0589,0.03953,1.01022
378964.0,-0.05913,0.03986,1.01022
379488.0,-0.05902,0.0397,1.01026
380012.0,-0.05898,0.03983,1.01039
380536.0,-0.05917,0.03982,1.01025
381060.0,-0.05903,0.03972,1.01027
381584.0,-0.05887,0.03971,1.01022
382108.0,-0.05886,0.03966,1.01039
382632.0,-0.05905,0.03976,1.01029
383156.0,-0.05916,0.03988,1.01016
383680.0,-0.0591,0.03981,1.01013
384204.0,-0.059,0.03965,1.01029
384728.0,-0.05909,0.03986,1.01017
385252.0,-0.05911,0.03978,1.01011
385776.0,-0.05885,0.03959,1.01016
386300.0,-0.05902,0.03973,1.01003
386824.0,-0.05899,0.03974,1.01006
387348.0,-0.05898,0.03962,1.01012
387872.0,-0.05918,0.03989,1.00999
