TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
894816.0,0.96076,0.05365,0.02032
895660.0,0.96078,0.05356,0.02046
896504.0,0.96086,0.05357,0.02059
897348.0,0.96082,0.05361,0.02059
898192.0,0.96081,0.05364,0.02048
899036.0,0.96074,0.05377,0.02036
899880.0,0.96086,0.05366,0.02044
900728.0,0.96074,0.05377,0.02046
901572.0,0.96089,0.05361,0.02067
902416.0,0.96074,0.05373,0.02053
903260.0,0.96074,0.0537,0.02064
904104.0,0.96083,0.05357,0.02067
904948.0,0.96078,0.05365,0.02052
905792.0,0.96081,0.05361,0.02047
906636.0,0.96091,0.05361,0.02063
907480.0,0.96094,0.0536,0.02066
908324.0,0.96093,0.05355,0.02052
909168.0,0.96087,0.05351,0.02042
910012.0,0.9608,0.05366,0.02054
910856.0,0.96072,0.0537,0.02043
911700.0,0.9608,0.05371,0.02052
912544.0,0.96074,0.05364,0.02054
913388.0,0.96079,0.05364,0.02052
914232.0,0.96086,0.05351,0.02054
915076.0,0.96103,0.05351,0.02051
915920.0,0.96084,0.05366,0.02047
916764.0,0.96083,0.05363,0.02044
917608.0,0.96087,0.05357,0.02053
918452.0,0.96069,0.05367,0.02065
919296.0,0.96082,0.05355,0.02077
920140.0,0.96077,0.05358,0.02061
920984.0,0.96069,0.05371,0.02069
921828.0,0.96079,0.05366,0.02059
922672.0,0.96077,0.05359,0.02061
923516.0,0.96085,0.05352,0.02064
924360.0,0.96082,0.05358,0.02057
925204.0,0.96077,0.05348,0.02062
926048.0,0.96098,0.05349,0.02069
926892.0,0.96082,0.05357,0.02071
927736.0,0.96083,0.05353,0.02052
928580.0,0.96082,0.05358,0.0205
929424.0,0.96074,0.0536,0.02043
930268.0,0.96063,0.05377,0.02042
931112.0,0.96067,0.05366,0.02051
931956.0,0.96084,0.0534,0.02052
932800.0,0.96094,0.05344,0.02057
933644.0,0.96076,0.05361,0.02054
934488.0,0.96074,0.05353,0.02064
935332.0,0.96097,0.05342,0.02065
936176.0,0.96089,0.05351,0.02059
937020.0,0.96086,0.05349,0.02057
937864.0,0.96081,0.05365,0.02027
938708.0,0.96086,0.0536,0.0204
939552.0,0.96077,0.05358,0.02058
940396.0,0.96084,0.05347,0.02066
941240.0,0.96074,0.05359,0.02058
942084.0,0.96082,0.05357,0.02066
942928.0,0.96075,0.05356,0.0208
943772.0,0.96087,0.05341,0.02083
944616.0,0.96086,0.05345,0.02064
945460.0,0.96078,0.05361,0.02062
946304.0,0.96067,0.05368,0.02076
947148.0,0.96073,0.05362,0.02061
947992.0,0.96079,0.05365,0.02072
948836.0,0.96085,0.05347,0.02062
949680.0,0.96065,0.05368,0.02055
950524.0,0.96068,0.05362,0.02043
951368.0,0.96075,0.05363,0.02045
952212.0,0.96061,0.05359,0.02049
953056.0,0.96063,0.05367,0.0206
953900.0,0.96075,0.05346,0.0206
954744.0,0.96075,0.05359,0.02062
955588.0,0.96068,0.05364,0.02061
956432.0,0.96068,0.05371,0.02052
957276.0,0.96089,0.05348,0.02064
958120.0,0.96087,0.05344,0.02068
958964.0,0.9608,0.05338,0.02068
959808.0,0.96091,0.0534,0.02068
960652.0,0.96086,0.05341,0.02056
961496.0,0.96078,0.05353,0.02046
962340.0,0.96066,0.05369,0.02031
963184.0,0.96067,0.05374,0.02034
964028.0,0.96066,0.05374,0.02047
964872.0,0.96078,0.05357,0.02049
965716.0,0.96084,0.05346,0.02059
966560.0,0.96086,0.05341,0.02061
967404.0,0.9609,0.05349,0.02066
968248.0,0.96084,0.05351,0.02053
969092.0,0.96081,0.05374,0.02047
969936.0,0.96084,0.05344,0.0207
970780.0,0.96087,0.05354,0.02049
971624.0,0.96085,0.05347,0.02053
972468.0,0.96075,0.05361,0.02059
973312.0,0.96087,0.05354,0.02058
974156.0,0.96077,0.05359,0.02064
975000.0,0.96076,0.05371,0.02064
975844.0,0.96085,0.05358,0.02069
976688.0,0.96084,0.05358,0.02039
977532.0,0.96067,0.05365,0.02053
978376.0,0.96085,0.05349,0.02063
