TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
335740.0,0.96086,0.05367,0.02078
336264.0,0.96083,0.05361,0.02078
336788.0,0.96091,0.05364,0.02076
337312.0,0.96057,0.0539,0.02064
337836.0,0.96067,0.05384,0.02065
338360.0,0.96073,0.05368,0.02073
338884.0,0.96077,0.05364,0.02063
339408.0,0.96085,0.05358,0.02071
339932.0,0.96077,0.05366,0.02059
340456.0,0.96077,0.05366,0.02075
340980.0,0.96084,0.05354,0.02085
341504.0,0.96086,0.05353,0.0208
342028.0,0.96078,0.05363,0.02067
342552.0,0.96071,0.05372,0.02064
343076.0,0.96081,0.05356,0.02069
343600.0,0.96093,0.05347,0.02079
344124.0,0.96083,0.05355,0.02092
344648.0,0.96087,0.0535,0.02084
345172.0,0.96082,0.05361,0.02075
345696.0,0.96077,0.05363,0.02069
346220.0,0.96076,0.05364,0.02047
346744.0,0.96082,0.05343,0.02086
347268.0,0.96083,0.05357,0.02073
347792.0,0.96086,0.05349,0.02075
348316.0,0.96088,0.05347,0.02076
348840.0,0.96071,0.05356,0.02072
349364.0,0.96059,0.05369,0.02065
349888.0,0.9609,0.05339,0.02078
350412.0,0.96085,0.05341,0.02082
350936.0,0.96068,0.05362,0.0207
351460.0,0.96071,0.05363,0.02076
351984.0,0.96065,0.0536,0.02073
352508.0,0.96074,0.05368,0.02069
353032.0,0.96072,0.05371,0.02055
353556.0,0.961,0.05344,0.02071
354080.0,0.96064,0.05361,0.02052
354604.0,0.96082,0.05344,0.02064
355128.0,0.96089,0.05338,0.02068
355652.0,0.96091,0.05334,0.02067
356176.0,0.96081,0.0536,0.02051
356700.0,0.96098,0.05347,0.02063
357224.0,0.96085,0.05353,0.02055
357748.0,0.96094,0.05341,0.02062
358272.0,0.96099,0.0534,0.02068
358796.0,0.96089,0.05344,0.02074
359320.0,0.96097,0.05333,0.02082
359844.0,0.96095,0.05334,0.02068
360368.0,0.96083,0.05349,0.02056
360892.0,0.96096,0.05338,0.02062
361416.0,0.96088,0.05336,0.02063
361940.0,0.96093,0.05335,0.02064
362464.0,0.96108,0.05329,0.02069
362988.0,0.96084,0.0535,0.02047
363512.0,0.96081,0.05364,0.02052
364036.0,0.96085,0.05359,0.02059
364560.0,0.96088,0.05348,0.02069
365084.0,0.96082,0.05341,0.02059
365608.0,0.96084,0.05334,0.02063
366132.0,0.96082,0.05356,0.02078
366656.0,0.96102,0.05334,0.0208
367180.0,0.96078,0.05359,0.02069
367704.0,0.96076,0.05359,0.02057
368228.0,0.96086,0.05344,0.02061
368752.0,0.96086,0.05338,0.02065
369276.0,0.96098,0.05327,0.02074
369800.0,0.96084,0.0534,0.02069
370324.0,0.96092,0.05331,0.02078
370848.0,0.96092,0.05334,0.02078
371372.0,0.96079,0.05355,0.02064
371896.0,0.961,0.05324,0.021
372420.0,0.96088,0.05348,0.02097
372944.0,0.96086,0.05341,0.02083
373468.0,0.96084,0.05354,0.02085
373992.0,0.96099,0.05344,0.02102
374516.0,0.96096,0.05333,0.02107
375040.0,0.96099,0.05326,0.0211
375564.0,0.96106,0.05325,0.02105
376088.0,0.96096,0.0533,0.02103
376612.0,0.9609,0.05346,0.02091
377136.0,0.96082,0.05341,0.02092
377660.0,0.96089,0.05339,0.02096
378184.0,0.96094,0.0534,0.02086
378708.0,0.96088,0.05334,0.02079
379232.0,0.96096,0.05336,0.02077
379756.0,0.96088,0.05346,0.02083
380280.0,0.96094,0.0533,0.0209
380804.0,0.96102,0.05334,0.02092
381328.0,0.96112,0.05327,0.021
381852.0,0.96103,0.05341,0.02089
382376.0,0.96106,0.05338,0.02095
382900.0,0.96105,0.05333,0.021
383428.0,0.961,0.05339,0.02093
383952.0,0.96088,0.05342,0.02085
384476.0,0.96084,0.05347,0.02079
385000.0,0.96098,0.05335,0.02068
385524.0,0.9609,0.05345,0.02072
386048.0,0.96094,0.05343,0.02064
386572.0,0.96087,0.05339,0.0206
387096.0,0.96096,0.05322,0.02077
387620.0,0.96111,0.05317,0.02081
