TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
237632.0,-0.04233,1.05787,0.00635
238076.0,-0.04218,1.05773,0.0064
238520.0,-0.04231,1.05776,0.00645
238964.0,-0.04225,1.05776,0.00651
239408.0,-0.04237,1.05787,0.00636
239852.0,-0.04255,1.05806,0.00632
240296.0,-0.04223,1.05786,0.00652
240740.0,-0.04226,1.0578,0.00647
241184.0,-0.04232,1.05772,0.00649
241628.0,-0.04223,1.0578,0.00652
242072.0,-0.04224,1.0579,0.00646
242516.0,-0.04214,1.0578,0.00645
242960.0,-0.04238,1.05796,0.00646
243404.0,-0.04224,1.05788,0.00657
243848.0,-0.04225,1.05795,0.00635
244292.0,-0.04215,1.05786,0.00666
244736.0,-0.04216,1.05786,0.0066
245180.0,-0.04204,1.0577,0.00651
245624.0,-0.04215,1.05789,0.00657
246068.0,-0.0422,1.05773,0.00658
246512.0,-0.0422,1.0579,0.00643
246956.0,-0.04222,1.05776,0.00651
247400.0,-0.04226,1.05807,0.00641
247844.0,-0.04223,1.05802,0.00665
248288.0,-0.04206,1.05796,0.00652
248732.0,-0.04223,1.05789,0.00648
249176.0,-0.04222,1.05775,0.00657
249620.0,-0.04222,1.05781,0.0066
250064.0,-0.04232,1.05785,0.00647
250508.0,-0.04221,1.05774,0.0066
250952.0,-0.04212,1.05765,0.00657
251396.0,-0.04225,1.05771,0.00655
251840.0,-0.04236,1.05782,0.00641
252284.0,-0.04234,1.05795,0.00642
252728.0,-0.04241,1.05795,0.00636
253172.0,-0.04226,1.05789,0.00641
253616.0,-0.04232,1.05785,0.00635
254060.0,-0.04244,1.05805,0.00619
254504.0,-0.04244,1.05796,0.00625
254948.0,-0.04229,1.05788,0.00624
255392.0,-0.04241,1.05785,0.0063
255836.0,-0.04237,1.05788,0.00624
256280.0,-0.04238,1.05793,0.00637
256724.0,-0.04237,1.05787,0.00627
257168.0,-0.04235,1.05779,0.00643
257612.0,-0.04212,1.05774,0.00649
258056.0,-0.04208,1.05759,0.00633
258500.0,-0.04217,1.05769,0.00649
258944.0,-0.04227,1.05776,0.00649
259388.0,-0.04214,1.05774,0.00638
259832.0,-0.0422,1.05762,0.00645
260276.0,-0.04239,1.05787,0.00646
260720.0,-0.04236,1.05782,0.0066
261164.0,-0.04222,1.05763,0.00669
261608.0,-0.04222,1.05779,0.00654
262052.0,-0.04218,1.05774,0.00644
262496.0,-0.04224,1.05757,0.00646
262940.0,-0.04233,1.05761,0.00656
263384.0,-0.04226,1.05758,0.0066
263828.0,-0.04226,1.05772,0.00654
264272.0,-0.04227,1.05781,0.00642
264716.0,-0.0423,1.05769,0.00651
265160.0,-0.04214,1.05764,0.00656
265604.0,-0.04242,1.05783,0.00645
266048.0,-0.04246,1.05785,0.00653
266492.0,-0.04223,1.0576,0.00654
266936.0,-0.04221,1.05766,0.00659
267380.0,-0.04238,1.05793,0.0063
267824.0,-0.0423,1.05767,0.00654
268268.0,-0.04233,1.05772,0.00647
268712.0,-0.04241,1.05782,0.00651
269156.0,-0.04224,1.05763,0.00668
269600.0,-0.04225,1.0577,0.00656
270044.0,-0.04209,1.05757,0.00648
270488.0,-0.04222,1.05762,0.00653
270932.0,-0.04219,1.05767,0.00668
271376.0,-0.04219,1.0576,0.00656
271820.0,-0.04224,1.05765,0.00641
272264.0,-0.04234,1.05772,0.00652
272708.0,-0.04218,1.05755,0.00665
273152.0,-0.04215,1.0576,0.00665
273596.0,-0.04216,1.05764,0.00662
274040.0,-0.04218,1.05772,0.00666
274484.0,-0.04241,1.05786,0.00646
274928.0,-0.04237,1.05786,0.00642
275372.0,-0.04233,1.05781,0.00637
275816.0,-0.04214,1.05773,0.00659
276260.0,-0.04232,1.05784,0.00657
276704.0,-0.04235,1.05782,0.00658
277148.0,-0.04223,1.05772,0.00651
277592.0,-0.04223,1.05767,0.00669
278036.0,-0.04227,1.05791,0.00656
278480.0,-0.04249,1.058,0.00641
278924.0,-0.04237,1.05777,0.00651
279368.0,-0.04237,1.05772,0.00636
279812.0,-0.04246,1.05779,0.00637
280256.0,-0.04231,1.05759,0.00667
280700.0,-0.04223,1.05773,0.00662
281144.0,-0.04237,1.05781,0.00663
281588.0,-0.04226,1.05762,0.00666
