TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
1174812.0,-0.04275,1.05788,0.00621
1175776.0,-0.04274,1.0578,0.00624
1176740.0,-0.04261,1.05769,0.00626
1177704.0,-0.04255,1.0576,0.00636
1178668.0,-0.04258,1.05774,0.00619
1179632.0,-0.04243,1.05764,0.00638
1180596.0,-0.04256,1.05784,0.00628
1181560.0,-0.04241,1.05775,0.00642
1182524.0,-0.04241,1.05764,0.00652
1183488.0,-0.04239,1.05763,0.00651
1184456.0,-0.04234,1.05749,0.00652
1185420.0,-0.04238,1.05761,0.0065
1186384.0,-0.0424,1.05757,0.00644
1187348.0,-0.0424,1.05774,0.0064
1188312.0,-0.04239,1.05754,0.00643
1189276.0,-0.04242,1.05763,0.00647
1190240.0,-0.04246,1.05763,0.0065
1191204.0,-0.04245,1.05765,0.00633
1192168.0,-0.04261,1.05782,0.00623
1193132.0,-0.04257,1.05785,0.00625
1194096.0,-0.04253,1.05771,0.00629
1195060.0,-0.04254,1.05777,0.0063
1196024.0,-0.04243,1.05756,0.00655
1196988.0,-0.04252,1.05762,0.00638
1197952.0,-0.04239,1.05764,0.00655
1198916.0,-0.04243,1.05766,0.00654
1199880.0,-0.04249,1.05773,0.00647
1200844.0,-0.04252,1.05784,0.00639
1201808.0,-0.04265,1.05782,0.00641
1202772.0,-0.04243,1.05758,0.00652
1203736.0,-0.04233,1.05757,0.00655
1204700.0,-0.04247,1.05756,0.00647
1205664.0,-0.04266,1.05781,0.00634
1206628.0,-0.04261,1.05781,0.00639
1207592.0,-0.04255,1.05782,0.00643
1208556.0,-0.04251,1.05782,0.0064
1209520.0,-0.04251,1.05775,0.00642
1210484.0,-0.04243,1.05762,0.0066
1211448.0,-0.04228,1.05746,0.00667
1212412.0,-0.04245,1.05759,0.0066
1213376.0,-0.04233,1.05761,0.00653
1214340.0,-0.04245,1.05768,0.00664
1215304.0,-0.0424,1.0576,0.00664
1216268.0,-0.04233,1.05765,0.00661
1217232.0,-0.0424,1.05762,0.0066
1218196.0,-0.04251,1.0577,0.00646
1219160.0,-0.04242,1.05761,0.00663
1220124.0,-0.04259,1.05769,0.00656
1221088.0,-0.04249,1.05774,0.00649
1222052.0,-0.04248,1.05775,0.00648
1223016.0,-0.04248,1.0576,0.00664
1223980.0,-0.04244,1.05761,0.00652
1224944.0,-0.04247,1.05763,0.00645
1225908.0,-0.04246,1.05764,0.00641
1226872.0,-0.04242,1.05753,0.00648
1227836.0,-0.04262,1.0578,0.00626
1228800.0,-0.04259,1.05783,0.00623
1229764.0,-0.04252,1.05775,0.00639
1230728.0,-0.04247,1.05759,0.00652
1231692.0,-0.04251,1.05777,0.00643
1232656.0,-0.04245,1.05766,0.00659
1233620.0,-0.04244,1.05771,0.00656
1234584.0,-0.0425,1.05773,0.00656
1235548.0,-0.04247,1.05757,0.00662
1236512.0,-0.04264,1.05782,0.00649
1237476.0,-0.04247,1.05764,0.0066
1238440.0,-0.04235,1.05763,0.00668
1239404.0,-0.04255,1.05766,0.0067
1240368.0,-0.04243,1.05765,0.00667
1241332.0,-0.04248,1.05767,0.00661
1242296.0,-0.04254,1.05774,0.00657
1243260.0,-0.0424,1.05765,0.00659
1244224.0,-0.04239,1.05756,0.00666
1245188.0,-0.04261,1.05778,0.00654
1246152.0,-0.04236,1.05768,0.00653
1247116.0,-0.0425,1.0578,0.00644
1248080.0,-0.04261,1.05775,0.00645
1249044.0,-0.04262,1.05782,0.00637
1250008.0,-0.0426,1.0579,0.00634
1250972.0,-0.04252,1.05772,0.00649
1251936.0,-0.04268,1.05787,0.00643
1252900.0,-0.04271,1.05794,0.00636
1253864.0,-0.04259,1.05786,0.00633
1254828.0,-0.04275,1.058,0.00621
1255792.0,-0.04257,1.05779,0.00644
1256756.0,-0.04255,1.05782,0.00645
1257720.0,-0.04251,1.05769,0.00642
1258684.0,-0.04261,1.0578,0.00624
1259648.0,-0.04242,1.05759,0.00635
1260612.0,-0.04258,1.05773,0.00637
1261576.0,-0.04261,1.05779,0.00632
1262540.0,-0.04252,1.05772,0.00646
1263504.0,-0.04251,1.05775,0.00651
1264468.0,-0.04245,1.05766,0.0067
1265432.0,-0.0425,1.05774,0.00656
1266396.0,-0.04249,1.05762,0.00648
1267360.0,-0.04243,1.05767,0.0066
1268324.0,-0.0425,1.05775,0.00651
1269288.0,-0.04259,1.05766,0.00646
1270252.0,-0.0425,1.05768,0.00654
