TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
66716.0,-0.04232,1.05786,0.00664
66960.0,-0.04221,1.05775,0.0067
67204.0,-0.04221,1.05772,0.00673
67448.0,-0.04221,1.05779,0.00685
67692.0,-0.04216,1.05773,0.00671
67936.0,-0.04212,1.05785,0.00675
68180.0,-0.04206,1.05759,0.00681
68424.0,-0.0422,1.05782,0.00676
68668.0,-0.04239,1.05798,0.00657
68912.0,-0.04241,1.05781,0.00668
69156.0,-0.0424,1.05782,0.00671
69400.0,-0.04226,1.05777,0.00666
69644.0,-0.04228,1.05781,0.0067
69888.0,-0.04225,1.05773,0.00654
70132.0,-0.0423,1.05804,0.00626
70376.0,-0.0423,1.05782,0.00615
70620.0,-0.04235,1.05791,0.00655
70864.0,-0.04228,1.05786,0.00648
71108.0,-0.04238,1.05788,0.00651
71352.0,-0.04229,1.05771,0.00645
71596.0,-0.04231,1.05778,0.0065
71840.0,-0.04244,1.05778,0.00668
72084.0,-0.0424,1.05788,0.00663
72328.0,-0.04215,1.05761,0.00681
72572.0,-0.04232,1.05777,0.00665
72816.0,-0.04223,1.05761,0.00684
73060.0,-0.04242,1.05782,0.00682
73304.0,-0.04235,1.05787,0.00666
73548.0,-0.04243,1.05773,0.00653
73792.0,-0.04227,1.05776,0.00643
74036.0,-0.04228,1.05776,0.00651
74280.0,-0.04221,1.05783,0.00657
74524.0,-0.04224,1.05764,0.00655
74768.0,-0.04226,1.05772,0.00672
75012.0,-0.04209,1.05772,0.0068
75256.0,-0.04209,1.0576,0.00669
75500.0,-0.04215,1.05782,0.00648
75744.0,-0.04236,1.05781,0.00665
75988.0,-0.04226,1.05786,0.00654
76232.0,-0.04233,1.05772,0.00658
76476.0,-0.04231,1.05774,0.00668
76720.0,-0.0421,1.0576,0.00671
76964.0,-0.04215,1.05773,0.00688
77208.0,-0.04242,1.05788,0.0067
77452.0,-0.04198,1.05767,0.00689
77696.0,-0.04206,1.05765,0.00682
77940.0,-0.04208,1.05771,0.00681
78184.0,-0.04223,1.05767,0.00679
78428.0,-0.04219,1.05773,0.00667
78672.0,-0.04233,1.05782,0.00661
78916.0,-0.04233,1.0579,0.00641
79160.0,-0.04234,1.05807,0.00652
79404.0,-0.04238,1.05795,0.00669
79648.0,-0.04212,1.05758,0.00681
79892.0,-0.0421,1.05766,0.00676
80136.0,-0.04236,1.05786,0.00666
80380.0,-0.04232,1.05785,0.00655
80624.0,-0.04252,1.05792,0.00659
80868.0,-0.04221,1.05767,0.00669
81112.0,-0.04214,1.05761,0.00672
81356.0,-0.04243,1.05774,0.00682
81600.0,-0.04224,1.05776,0.00668
81844.0,-0.04218,1.05775,0.00678
82088.0,-0.04214,1.05774,0.00678
82332.0,-0.04199,1.05776,0.00665
82576.0,-0.04215,1.05776,0.00674
82820.0,-0.04215,1.05763,0.00664
83064.0,-0.04212,1.05781,0.00674
83308.0,-0.04219,1.05756,0.00678
83552.0,-0.04216,1.05775,0.00665
83796.0,-0.04225,1.05779,0.00664
84040.0,-0.04227,1.05774,0.00669
84284.0,-0.04226,1.05787,0.00678
84528.0,-0.04237,1.05783,0.00665
84772.0,-0.04234,1.05774,0.00681
85016.0,-0.04251,1.05796,0.00652
85260.0,-0.04231,1.05772,0.00663
85504.0,-0.04237,1.05799,0.00648
85748.0,-0.04236,1.05791,0.00653
85992.0,-0.04239,1.05813,0.00654
86236.0,-0.04231,1.05791,0.00651
86480.0,-0.04225,1.05796,0.0066
86724.0,-0.0422,1.05777,0.00685
86968.0,-0.04215,1.05773,0.00663
87212.0,-0.04228,1.05779,0.00676
87456.0,-0.0422,1.05773,0.00657
87700.0,-0.04232,1.05793,0.00652
87944.0,-0.04237,1.05783,0.00665
88188.0,-0.04214,1.05788,0.0066
88432.0,-0.04243,1.05806,0.00656
88676.0,-0.04247,1.05797,0.00646
88920.0,-0.04238,1.05795,0.00668
89164.0,-0.04222,1.05777,0.0066
89408.0,-0.04217,1.05773,0.00667
89652.0,-0.04228,1.05798,0.00678
89896.0,-0.0423,1.05794,0.00671
90140.0,-0.04224,1.05784,0.00671
90384.0,-0.04228,1.05789,0.00664
90628.0,-0.04231,1.05784,0.00665
90872.0,-0.04244,1.05813,0.00647
