TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
894940.0,-0.04238,1.05758,0.00668
895784.0,-0.04235,1.05773,0.0065
896628.0,-0.0423,1.05764,0.00663
897472.0,-0.0423,1.05754,0.00658
898316.0,-0.04238,1.05767,0.00649
899160.0,-0.04232,1.05761,0.00654
900004.0,-0.04234,1.05763,0.00659
900848.0,-0.04219,1.05736,0.00681
901692.0,-0.04213,1.05741,0.00668
902536.0,-0.0423,1.05756,0.00663
903380.0,-0.0422,1.05743,0.00678
904224.0,-0.04227,1.05755,0.00678
905068.0,-0.04237,1.05759,0.00666
905912.0,-0.04246,1.05768,0.00662
906756.0,-0.04252,1.05773,0.00654
907600.0,-0.04234,1.05768,0.00659
908444.0,-0.04239,1.05773,0.00658
909288.0,-0.04234,1.05758,0.00657
910132.0,-0.04231,1.05759,0.00658
910976.0,-0.04235,1.05758,0.00648
911820.0,-0.04245,1.05777,0.00623
912664.0,-0.04246,1.05784,0.00614
913508.0,-0.04236,1.05773,0.00624
914352.0,-0.04235,1.0577,0.00623
915196.0,-0.04242,1.05776,0.00629
916040.0,-0.04246,1.05776,0.00636
916884.0,-0.04242,1.05774,0.00631
917728.0,-0.04241,1.05768,0.00628
918572.0,-0.04232,1.05757,0.00643
919416.0,-0.04229,1.05762,0.00653
920260.0,-0.04245,1.05774,0.0065
921104.0,-0.04239,1.05777,0.00654
921948.0,-0.04242,1.05768,0.00659
922792.0,-0.04243,1.05763,0.00656
923636.0,-0.04235,1.05759,0.00651
924480.0,-0.04235,1.05763,0.00657
925324.0,-0.04238,1.05765,0.00652
926168.0,-0.04241,1.05769,0.00649
927016.0,-0.04249,1.05773,0.00652
927860.0,-0.04239,1.05777,0.00657
928704.0,-0.04245,1.05785,0.00647
929548.0,-0.04226,1.05777,0.00652
930392.0,-0.04233,1.05782,0.00649
931236.0,-0.04225,1.05767,0.00658
932080.0,-0.04234,1.05762,0.00652
932924.0,-0.04237,1.05769,0.00647
933768.0,-0.0424,1.0577,0.00644
934612.0,-0.04244,1.05784,0.0064
935456.0,-0.04234,1.05772,0.00645
936300.0,-0.04225,1.05754,0.00671
937144.0,-0.04233,1.05771,0.00664
937988.0,-0.04232,1.05769,0.00652
938832.0,-0.04228,1.05767,0.00647
939676.0,-0.04229,1.05768,0.00662
940520.0,-0.04237,1.05771,0.00649
941364.0,-0.04228,1.05764,0.0067
942208.0,-0.04223,1.05767,0.00665
943052.0,-0.04221,1.05764,0.00675
943896.0,-0.04218,1.05759,0.00667
944740.0,-0.04219,1.05761,0.0067
945584.0,-0.04221,1.05762,0.00665
946428.0,-0.04238,1.05768,0.00662
947272.0,-0.04228,1.0575,0.00667
948116.0,-0.0423,1.05755,0.00672
948960.0,-0.04241,1.05771,0.00673
949804.0,-0.0423,1.05763,0.00677
950648.0,-0.04233,1.05756,0.00671
951492.0,-0.0423,1.05768,0.00665
952336.0,-0.04228,1.0576,0.00675
953180.0,-0.04236,1.05759,0.0066
954024.0,-0.0423,1.0577,0.00663
954868.0,-0.04241,1.05762,0.00665
955712.0,-0.04238,1.05766,0.00665
956556.0,-0.04227,1.05766,0.0067
957400.0,-0.04221,1.0576,0.0067
958244.0,-0.04235,1.05775,0.00657
959088.0,-0.04242,1.0578,0.0065
959932.0,-0.04246,1.0579,0.00651
960776.0,-0.04243,1.05783,0.00661
961620.0,-0.04236,1.05777,0.00658
962464.0,-0.04218,1.05755,0.00659
963308.0,-0.04229,1.05774,0.00648
964152.0,-0.04217,1.05757,0.00657
964996.0,-0.04229,1.05773,0.00638
965840.0,-0.0423,1.05769,0.0065
966684.0,-0.04217,1.05753,0.00659
967528.0,-0.04214,1.05759,0.00658
968372.0,-0.04217,1.05755,0.00658
969216.0,-0.04219,1.05751,0.00662
970060.0,-0.04225,1.05753,0.00657
970904.0,-0.04227,1.05768,0.00646
971748.0,-0.04223,1.05759,0.00648
972592.0,-0.0423,1.0577,0.00643
973436.0,-0.0423,1.05766,0.0064
974280.0,-0.04232,1.05769,0.00631
975124.0,-0.0423,1.05764,0.00639
975968.0,-0.04228,1.05767,0.00634
976812.0,-0.04223,1.05764,0.00635
977656.0,-0.04222,1.05753,0.00647
978500.0,-0.04234,1.0576,0.00633
