TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
14564.0,-0.04201,1.05768,0.0067
14688.0,-0.04219,1.05767,0.0069
14812.0,-0.04239,1.05799,0.00688
14936.0,-0.04253,1.05783,0.00658
15060.0,-0.04235,1.05824,0.00671
15184.0,-0.04238,1.05813,0.00662
15308.0,-0.04249,1.05809,0.00674
15432.0,-0.04238,1.05801,0.0066
15556.0,-0.04227,1.05786,0.0068
15680.0,-0.04234,1.0577,0.0066
15804.0,-0.04228,1.05806,0.00654
15928.0,-0.04233,1.05763,0.00661
16052.0,-0.04223,1.05767,0.00662
16176.0,-0.04248,1.05787,0.00642
16300.0,-0.04227,1.0578,0.00651
16424.0,-0.04229,1.0579,0.00639
16548.0,-0.04223,1.05788,0.00656
16672.0,-0.04231,1.05781,0.00672
16796.0,-0.04229,1.05776,0.00667
16920.0,-0.0422,1.05769,0.00666
17044.0,-0.04211,1.05762,0.00666
17168.0,-0.04202,1.0579,0.00651
17292.0,-0.04208,1.05773,0.00661
17416.0,-0.04211,1.05768,0.00655
17540.0,-0.04231,1.0577,0.0066
17664.0,-0.04214,1.05786,0.0066
17788.0,-0.04216,1.0578,0.0065
17912.0,-0.04243,1.05786,0.00654
18036.0,-0.04227,1.05784,0.00655
18160.0,-0.0422,1.05786,0.00648
18284.0,-0.0424,1.05791,0.0066
18408.0,-0.04226,1.05783,0.00652
18532.0,-0.04207,1.05792,0.00645
18656.0,-0.04235,1.05794,0.0066
18780.0,-0.04241,1.05789,0.00657
18904.0,-0.04212,1.05788,0.00673
19028.0,-0.04212,1.05779,0.00667
19152.0,-0.0422,1.05799,0.0067
19276.0,-0.04213,1.05773,0.00658
19400.0,-0.04224,1.0577,0.0068
19524.0,-0.04229,1.05791,0.00678
19648.0,-0.04241,1.05769,0.00654
19772.0,-0.04243,1.05789,0.00647
19896.0,-0.04243,1.05809,0.00648
20020.0,-0.04229,1.05792,0.00658
20144.0,-0.04213,1.05771,0.00656
20268.0,-0.04219,1.05778,0.00667
20392.0,-0.04216,1.05781,0.00669
20516.0,-0.042,1.0578,0.00652
20640.0,-0.04245,1.05812,0.00642
20764.0,-0.04226,1.05787,0.00657
20888.0,-0.04248,1.05798,0.00638
21012.0,-0.04224,1.05801,0.00664
21136.0,-0.04223,1.05768,0.00678
21260.0,-0.04205,1.05777,0.00651
21384.0,-0.04225,1.05796,0.00668
21508.0,-0.04243,1.05803,0.00684
21632.0,-0.04232,1.05788,0.00675
21756.0,-0.04212,1.05789,0.00671
21880.0,-0.0422,1.05772,0.00657
22004.0,-0.04246,1.05813,0.00662
22128.0,-0.04238,1.05813,0.00647
22252.0,-0.04239,1.058,0.0065
22376.0,-0.04245,1.05818,0.00616
22500.0,-0.04229,1.05784,0.00653
22624.0,-0.04239,1.05807,0.00642
22748.0,-0.04234,1.05802,0.00643
22872.0,-0.04246,1.05793,0.00636
22996.0,-0.04254,1.05805,0.00637
23120.0,-0.04243,1.05786,0.00641
23244.0,-0.04227,1.05787,0.00633
23368.0,-0.04248,1.0581,0.00654
23492.0,-0.04249,1.05804,0.00639
23616.0,-0.04239,1.05797,0.00647
23740.0,-0.04244,1.05804,0.00653
23864.0,-0.04243,1.05785,0.00647
23988.0,-0.04239,1.05792,0.0065
24112.0,-0.04237,1.0579,0.00627
24236.0,-0.04244,1.05789,0.00633
24360.0,-0.04248,1.05795,0.00665
24484.0,-0.04238,1.05792,0.00654
24608.0,-0.04253,1.05794,0.00638
24732.0,-0.04235,1.05807,0.00638
24856.0,-0.04235,1.0579,0.00645
24980.0,-0.04233,1.058,0.00658
25104.0,-0.04248,1.0579,0.00641
25228.0,-0.04232,1.05807,0.00644
25352.0,-0.04231,1.05776,0.00648
25476.0,-0.04243,1.05784,0.00662
25600.0,-0.0423,1.05802,0.00652
25724.0,-0.04233,1.05798,0.00653
25848.0,-0.04242,1.058,0.00641
25972.0,-0.04239,1.05809,0.00655
26096.0,-0.04231,1.05787,0.00641
26220.0,-0.04235,1.05781,0.00664
26344.0,-0.0424,1.05778,0.00672
26468.0,-0.0425,1.05827,0.00655
26592.0,-0.0424,1.05802,0.00653
26716.0,-0.04235,1.0579,0.00655
26840.0,-0.04248,1.05808,0.00654
